
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (240 ELS. CTES.)    


DADOS

  NÚMERO DE ELEMENTOS DA MALHA=  240
  NÚMERO DE ELEMENTOS DE CONTORNO=  100
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS=  242
  NÚMERO DE PONTOS DE GAUSS=   8
  MÓDULO DE CISALHAMENTO=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DE CONTORNO

    PONTO          X                  Y                  Z
       1     -0.5000000D+01     -0.5000000D+01      0.0000000D+00
       2     -0.5000000D+01      0.5000000D+01      0.0000000D+00
       3     -0.5000000D+01     -0.4000000D+01      0.0000000D+00
       4     -0.5000000D+01     -0.3000000D+01      0.0000000D+00
       5     -0.5000000D+01     -0.2000000D+01      0.0000000D+00
       6     -0.5000000D+01     -0.1000000D+01      0.0000000D+00
       7     -0.5000000D+01      0.0000000D+00      0.0000000D+00
       8     -0.5000000D+01      0.1000000D+01      0.0000000D+00
       9     -0.5000000D+01      0.2000000D+01      0.0000000D+00
      10     -0.5000000D+01      0.3000000D+01      0.0000000D+00
      11     -0.5000000D+01      0.4000000D+01      0.0000000D+00
      12      0.5000000D+01      0.5000000D+01      0.0000000D+00
      13     -0.4000000D+01      0.5000000D+01      0.0000000D+00
      14     -0.3000000D+01      0.5000000D+01      0.0000000D+00
      15     -0.2000000D+01      0.5000000D+01      0.0000000D+00
      16     -0.1000000D+01      0.5000000D+01      0.0000000D+00
      17      0.0000000D+00      0.5000000D+01      0.0000000D+00
      18      0.1000000D+01      0.5000000D+01      0.0000000D+00
      19      0.2000000D+01      0.5000000D+01      0.0000000D+00
      20      0.3000000D+01      0.5000000D+01      0.0000000D+00
      21      0.4000000D+01      0.5000000D+01      0.0000000D+00
      22      0.5000000D+01     -0.5000000D+01      0.0000000D+00
      23      0.5000000D+01      0.4000000D+01      0.0000000D+00
      24      0.5000000D+01      0.3000000D+01      0.0000000D+00
      25      0.5000000D+01      0.2000000D+01      0.0000000D+00
      26      0.5000000D+01      0.1000000D+01      0.0000000D+00
      27      0.5000000D+01      0.0000000D+00      0.0000000D+00
      28      0.5000000D+01     -0.1000000D+01      0.0000000D+00
      29      0.5000000D+01     -0.2000000D+01      0.0000000D+00
      30      0.5000000D+01     -0.3000000D+01      0.0000000D+00
      31      0.5000000D+01     -0.4000000D+01      0.0000000D+00
      32      0.4000000D+01     -0.5000000D+01      0.0000000D+00
      33      0.3000000D+01     -0.5000000D+01      0.0000000D+00
      34      0.2000000D+01     -0.5000000D+01      0.0000000D+00
      35      0.1000000D+01     -0.5000000D+01      0.0000000D+00
      36      0.0000000D+00     -0.5000000D+01      0.0000000D+00
      37     -0.1000000D+01     -0.5000000D+01      0.0000000D+00
      38     -0.2000000D+01     -0.5000000D+01      0.0000000D+00
      39     -0.3000000D+01     -0.5000000D+01      0.0000000D+00
      40     -0.4000000D+01     -0.5000000D+01      0.0000000D+00
      41     -0.4000000D+01     -0.4000000D+01      0.0000000D+00
      42     -0.3000000D+01     -0.4000000D+01      0.0000000D+00
      43     -0.2000000D+01     -0.4000000D+01      0.0000000D+00
      44     -0.1000000D+01     -0.4000000D+01      0.0000000D+00
      45     -0.1110200D-15     -0.4000000D+01      0.0000000D+00
      46      0.1000000D+01     -0.4000000D+01      0.0000000D+00
      47      0.2000000D+01     -0.4000000D+01      0.0000000D+00
      48      0.3000000D+01     -0.4000000D+01      0.0000000D+00
      49      0.4000000D+01     -0.4000000D+01      0.0000000D+00
      50     -0.4000000D+01     -0.3000000D+01      0.0000000D+00
      51     -0.3000000D+01     -0.3000000D+01      0.0000000D+00
      52     -0.2000000D+01     -0.3000000D+01      0.0000000D+00
      53     -0.1000000D+01     -0.3000000D+01      0.0000000D+00
      54      0.0000000D+00     -0.3000000D+01      0.0000000D+00
      55      0.1000000D+01     -0.3000000D+01      0.0000000D+00
      56      0.2000000D+01     -0.3000000D+01      0.0000000D+00
      57      0.3000000D+01     -0.3000000D+01      0.0000000D+00
      58      0.4000000D+01     -0.3000000D+01      0.0000000D+00
      59     -0.4000000D+01     -0.2000000D+01      0.0000000D+00
      60     -0.3000000D+01     -0.2000000D+01      0.0000000D+00
      61     -0.2000000D+01     -0.2000000D+01      0.0000000D+00
      62     -0.1000000D+01     -0.2000000D+01      0.0000000D+00
      63     -0.1110200D-15     -0.2000000D+01      0.0000000D+00
      64      0.1000000D+01     -0.2000000D+01      0.0000000D+00
      65      0.2000000D+01     -0.2000000D+01      0.0000000D+00
      66      0.3000000D+01     -0.2000000D+01      0.0000000D+00
      67      0.4000000D+01     -0.2000000D+01      0.0000000D+00
      68     -0.4000000D+01     -0.1000000D+01      0.0000000D+00
      69     -0.3000000D+01     -0.1000000D+01      0.0000000D+00
      70     -0.2000000D+01     -0.1000000D+01      0.0000000D+00
      71     -0.1000000D+01     -0.1000000D+01      0.0000000D+00
      72      0.0000000D+00     -0.1000000D+01      0.0000000D+00
      73      0.1000000D+01     -0.1000000D+01      0.0000000D+00
      74      0.2000000D+01     -0.1000000D+01      0.0000000D+00
      75      0.3000000D+01     -0.1000000D+01      0.0000000D+00
      76      0.4000000D+01     -0.1000000D+01      0.0000000D+00
      77     -0.4000000D+01      0.0000000D+00      0.0000000D+00
      78     -0.3000000D+01      0.0000000D+00      0.0000000D+00
      79     -0.2000000D+01      0.0000000D+00      0.0000000D+00
      80     -0.1000000D+01      0.0000000D+00      0.0000000D+00
      81      0.0000000D+00      0.0000000D+00      0.0000000D+00
      82      0.1000000D+01      0.0000000D+00      0.0000000D+00
      83      0.2000000D+01      0.0000000D+00      0.0000000D+00
      84      0.3000000D+01      0.0000000D+00      0.0000000D+00
      85      0.4000000D+01      0.0000000D+00      0.0000000D+00
      86     -0.4000000D+01      0.1000000D+01      0.0000000D+00
      87     -0.3000000D+01      0.1000000D+01      0.0000000D+00
      88     -0.2000000D+01      0.1000000D+01      0.0000000D+00
      89     -0.1000000D+01      0.1000000D+01      0.0000000D+00
      90      0.0000000D+00      0.1000000D+01      0.0000000D+00
      91      0.1000000D+01      0.1000000D+01      0.0000000D+00
      92      0.2000000D+01      0.1000000D+01      0.0000000D+00
      93      0.3000000D+01      0.1000000D+01      0.0000000D+00
      94      0.4000000D+01      0.1000000D+01      0.0000000D+00
      95     -0.4000000D+01      0.2000000D+01      0.0000000D+00
      96     -0.3000000D+01      0.2000000D+01      0.0000000D+00
      97     -0.2000000D+01      0.2000000D+01      0.0000000D+00
      98     -0.1000000D+01      0.2000000D+01      0.0000000D+00
      99      0.0000000D+00      0.2000000D+01      0.0000000D+00
     100      0.1000000D+01      0.2000000D+01      0.0000000D+00
     101      0.2000000D+01      0.2000000D+01      0.0000000D+00
     102      0.3000000D+01      0.2000000D+01      0.0000000D+00
     103      0.4000000D+01      0.2000000D+01      0.0000000D+00
     104     -0.4000000D+01      0.3000000D+01      0.0000000D+00
     105     -0.3000000D+01      0.3000000D+01      0.0000000D+00
     106     -0.2000000D+01      0.3000000D+01      0.0000000D+00
     107     -0.1000000D+01      0.3000000D+01      0.0000000D+00
     108      0.0000000D+00      0.3000000D+01      0.0000000D+00
     109      0.1000000D+01      0.3000000D+01      0.0000000D+00
     110      0.2000000D+01      0.3000000D+01      0.0000000D+00
     111      0.3000000D+01      0.3000000D+01      0.0000000D+00
     112      0.4000000D+01      0.3000000D+01      0.0000000D+00
     113     -0.4000000D+01      0.4000000D+01      0.0000000D+00
     114     -0.3000000D+01      0.4000000D+01      0.0000000D+00
     115     -0.2000000D+01      0.4000000D+01      0.0000000D+00
     116     -0.1000000D+01      0.4000000D+01      0.0000000D+00
     117      0.0000000D+00      0.4000000D+01      0.0000000D+00
     118      0.1000000D+01      0.4000000D+01      0.0000000D+00
     119      0.2000000D+01      0.4000000D+01      0.0000000D+00
     120      0.3000000D+01      0.4000000D+01      0.0000000D+00
     121      0.4000000D+01      0.4000000D+01      0.0000000D+00
     122     -0.5000000D+01     -0.5000000D+01      0.2500000D+01
     123     -0.5000000D+01      0.5000000D+01      0.2500000D+01
     124     -0.5000000D+01     -0.4000000D+01      0.2500000D+01
     125     -0.5000000D+01     -0.3000000D+01      0.2500000D+01
     126     -0.5000000D+01     -0.2000000D+01      0.2500000D+01
     127     -0.5000000D+01     -0.1000000D+01      0.2500000D+01
     128     -0.5000000D+01      0.0000000D+00      0.2500000D+01
     129     -0.5000000D+01      0.1000000D+01      0.2500000D+01
     130     -0.5000000D+01      0.2000000D+01      0.2500000D+01
     131     -0.5000000D+01      0.3000000D+01      0.2500000D+01
     132     -0.5000000D+01      0.4000000D+01      0.2500000D+01
     133      0.5000000D+01      0.5000000D+01      0.2500000D+01
     134     -0.4000000D+01      0.5000000D+01      0.2500000D+01
     135     -0.3000000D+01      0.5000000D+01      0.2500000D+01
     136     -0.2000000D+01      0.5000000D+01      0.2500000D+01
     137     -0.1000000D+01      0.5000000D+01      0.2500000D+01
     138      0.0000000D+00      0.5000000D+01      0.2500000D+01
     139      0.1000000D+01      0.5000000D+01      0.2500000D+01
     140      0.2000000D+01      0.5000000D+01      0.2500000D+01
     141      0.3000000D+01      0.5000000D+01      0.2500000D+01
     142      0.4000000D+01      0.5000000D+01      0.2500000D+01
     143      0.5000000D+01     -0.5000000D+01      0.2500000D+01
     144      0.5000000D+01      0.4000000D+01      0.2500000D+01
     145      0.5000000D+01      0.3000000D+01      0.2500000D+01
     146      0.5000000D+01      0.2000000D+01      0.2500000D+01
     147      0.5000000D+01      0.1000000D+01      0.2500000D+01
     148      0.5000000D+01      0.0000000D+00      0.2500000D+01
     149      0.5000000D+01     -0.1000000D+01      0.2500000D+01
     150      0.5000000D+01     -0.2000000D+01      0.2500000D+01
     151      0.5000000D+01     -0.3000000D+01      0.2500000D+01
     152      0.5000000D+01     -0.4000000D+01      0.2500000D+01
     153      0.4000000D+01     -0.5000000D+01      0.2500000D+01
     154      0.3000000D+01     -0.5000000D+01      0.2500000D+01
     155      0.2000000D+01     -0.5000000D+01      0.2500000D+01
     156      0.1000000D+01     -0.5000000D+01      0.2500000D+01
     157      0.0000000D+00     -0.5000000D+01      0.2500000D+01
