
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (2160 ELS. CTES.)   


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= 2160
  NÚMERO DE ELEMENTOS DE CONTORNO=  900
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= 2162
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
      80      0.5000000D+01     -0.1000000D+01      0.0000000D+00
      81      0.5000000D+01     -0.1333300D+01      0.0000000D+00
      82      0.5000000D+01     -0.1666700D+01      0.0000000D+00
      83      0.5000000D+01     -0.2000000D+01      0.0000000D+00
      84      0.5000000D+01     -0.2333300D+01      0.0000000D+00
      85      0.5000000D+01     -0.2666700D+01      0.0000000D+00
      86      0.5000000D+01     -0.3000000D+01      0.0000000D+00
      87      0.5000000D+01     -0.3333300D+01      0.0000000D+00
      88      0.5000000D+01     -0.3666700D+01      0.0000000D+00
      89      0.5000000D+01     -0.4000000D+01      0.0000000D+00
      90      0.5000000D+01     -0.4333300D+01      0.0000000D+00
      91      0.5000000D+01     -0.4666700D+01      0.0000000D+00
      92      0.4666700D+01     -0.5000000D+01      0.0000000D+00
      93      0.4333300D+01     -0.5000000D+01      0.0000000D+00
      94      0.4000000D+01     -0.5000000D+01      0.0000000D+00
      95      0.3666700D+01     -0.5000000D+01      0.0000000D+00
      96      0.3333300D+01     -0.5000000D+01      0.0000000D+00
      97      0.3000000D+01     -0.5000000D+01      0.0000000D+00
      98      0.2666700D+01     -0.5000000D+01      0.0000000D+00
      99      0.2333300D+01     -0.5000000D+01      0.0000000D+00
     100      0.2000000D+01     -0.5000000D+01      0.0000000D+00
     101      0.1666700D+01     -0.5000000D+01      0.0000000D+00
     102      0.1333300D+01     -0.5000000D+01      0.0000000D+00
     103      0.1000000D+01     -0.5000000D+01      0.0000000D+00
     104      0.6666700D+00     -0.5000000D+01      0.0000000D+00
     105      0.3333300D+00     -0.5000000D+01      0.0000000D+00
     106      0.8881800D-15     -0.5000000D+01      0.0000000D+00
     107     -0.3333300D+00     -0.5000000D+01      0.0000000D+00
     108     -0.6666700D+00     -0.5000000D+01      0.0000000D+00
     109     -0.1000000D+01     -0.5000000D+01      0.0000000D+00
     110     -0.1333300D+01     -0.5000000D+01      0.0000000D+00
     111     -0.1666700D+01     -0.5000000D+01      0.0000000D+00
     112     -0.2000000D+01     -0.5000000D+01      0.0000000D+00
     113     -0.2333300D+01     -0.5000000D+01      0.0000000D+00
     114     -0.2666700D+01     -0.5000000D+01      0.0000000D+00
     115     -0.3000000D+01     -0.5000000D+01      0.0000000D+00
     116     -0.3333300D+01     -0.5000000D+01      0.0000000D+00
     117     -0.3666700D+01     -0.5000000D+01      0.0000000D+00
     118     -0.4000000D+01     -0.5000000D+01      0.0000000D+00
     119     -0.4333300D+01     -0.5000000D+01      0.0000000D+00
     120     -0.4666700D+01     -0.5000000D+01      0.0000000D+00
     121     -0.4666700D+01     -0.4666700D+01      0.0000000D+00
     122     -0.4333300D+01     -0.4666700D+01      0.0000000D+00
     123     -0.4000000D+01     -0.4666700D+01      0.0000000D+00
     124     -0.3666700D+01     -0.4666700D+01      0.0000000D+00
     125     -0.3333300D+01     -0.4666700D+01      0.0000000D+00
     126     -0.3000000D+01     -0.4666700D+01      0.0000000D+00
     127     -0.2666700D+01     -0.4666700D+01      0.0000000D+00
     128     -0.2333300D+01     -0.4666700D+01      0.0000000D+00
     129     -0.2000000D+01     -0.4666700D+01      0.0000000D+00
     130     -0.1666700D+01     -0.4666700D+01      0.0000000D+00
     131     -0.1333300D+01     -0.4666700D+01      0.0000000D+00
     132     -0.1000000D+01     -0.4666700D+01      0.0000000D+00
     133     -0.6666700D+00     -0.4666700D+01      0.0000000D+00
     134     -0.3333300D+00     -0.4666700D+01      0.0000000D+00
     135      0.8604200D-15     -0.4666700D+01      0.0000000D+00
     136      0.3333300D+00     -0.4666700D+01      0.0000000D+00
     137      0.6666700D+00     -0.4666700D+01      0.0000000D+00
     138      0.1000000D+01     -0.4666700D+01      0.0000000D+00
     139      0.1333300D+01     -0.4666700D+01      0.0000000D+00
     140      0.1666700D+01     -0.4666700D+01      0.0000000D+00
     141      0.2000000D+01     -0.4666700D+01      0.0000000D+00
     142      0.2333300D+01     -0.4666700D+01      0.0000000D+00
