
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (960 ELS. CTES.)    


DADOS

  NÚMERO DE ELEMENTOS DA MALHA=  960
  NÚMERO DE ELEMENTOS DE CONTORNO=  400
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS=  962
  NÚMERO DE PONTOS DE GAUSS=   8
  MÓDULO DE CISALHAMENTO=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DE CONTORNO

    PONTO          X                  Y                  Z
      93      0.1500000D+01     -0.4500000D+01      0.0000000D+00
      94      0.2000000D+01     -0.4500000D+01      0.0000000D+00
      95      0.2500000D+01     -0.4500000D+01      0.0000000D+00
      96      0.3000000D+01     -0.4500000D+01      0.0000000D+00
      97      0.3500000D+01     -0.4500000D+01      0.0000000D+00
      98      0.4000000D+01     -0.4500000D+01      0.0000000D+00
      99      0.4500000D+01     -0.4500000D+01      0.0000000D+00
     100     -0.4500000D+01     -0.4000000D+01      0.0000000D+00
     101     -0.4000000D+01     -0.4000000D+01      0.0000000D+00
     102     -0.3500000D+01     -0.4000000D+01      0.0000000D+00
     103     -0.3000000D+01     -0.4000000D+01      0.0000000D+00
     104     -0.2500000D+01     -0.4000000D+01      0.0000000D+00
     105     -0.2000000D+01     -0.4000000D+01      0.0000000D+00
     106     -0.1500000D+01     -0.4000000D+01      0.0000000D+00
     107     -0.1000000D+01     -0.4000000D+01      0.0000000D+00
     108     -0.5000000D+00     -0.4000000D+01      0.0000000D+00
     109      0.5551100D-15     -0.4000000D+01      0.0000000D+00
     110      0.5000000D+00     -0.4000000D+01      0.0000000D+00
     111      0.1000000D+01     -0.4000000D+01      0.0000000D+00
     112      0.1500000D+01     -0.4000000D+01      0.0000000D+00
     113      0.2000000D+01     -0.4000000D+01      0.0000000D+00
     114      0.2500000D+01     -0.4000000D+01      0.0000000D+00
     115      0.3000000D+01     -0.4000000D+01      0.0000000D+00
     116      0.3500000D+01     -0.4000000D+01      0.0000000D+00
     117      0.4000000D+01     -0.4000000D+01      0.0000000D+00
     118      0.4500000D+01     -0.4000000D+01      0.0000000D+00
     119     -0.4500000D+01     -0.3500000D+01      0.0000000D+00
     120     -0.4000000D+01     -0.3500000D+01      0.0000000D+00
     121     -0.3500000D+01     -0.3500000D+01      0.0000000D+00
     122     -0.3000000D+01     -0.3500000D+01      0.0000000D+00
     123     -0.2500000D+01     -0.3500000D+01      0.0000000D+00
     124     -0.2000000D+01     -0.3500000D+01      0.0000000D+00
     125     -0.1500000D+01     -0.3500000D+01      0.0000000D+00
     126     -0.1000000D+01     -0.3500000D+01      0.0000000D+00
     127     -0.5000000D+00     -0.3500000D+01      0.0000000D+00
     128      0.1665300D-15     -0.3500000D+01      0.0000000D+00
     129      0.5000000D+00     -0.3500000D+01      0.0000000D+00
     130      0.1000000D+01     -0.3500000D+01      0.0000000D+00
     131      0.1500000D+01     -0.3500000D+01      0.0000000D+00
     132      0.2000000D+01     -0.3500000D+01      0.0000000D+00
     133      0.2500000D+01     -0.3500000D+01      0.0000000D+00
     134      0.3000000D+01     -0.3500000D+01      0.0000000D+00
     135      0.3500000D+01     -0.3500000D+01      0.0000000D+00
     136      0.4000000D+01     -0.3500000D+01      0.0000000D+00
     137      0.4500000D+01     -0.3500000D+01      0.0000000D+00
     138     -0.4500000D+01     -0.3000000D+01      0.0000000D+00
     139     -0.4000000D+01     -0.3000000D+01      0.0000000D+00
     140     -0.3500000D+01     -0.3000000D+01      0.0000000D+00
     141     -0.3000000D+01     -0.3000000D+01      0.0000000D+00
     142     -0.2500000D+01     -0.3000000D+01      0.0000000D+00
     143     -0.2000000D+01     -0.3000000D+01      0.0000000D+00
     144     -0.1500000D+01     -0.3000000D+01      0.0000000D+00
     145     -0.1000000D+01     -0.3000000D+01      0.0000000D+00
     146     -0.5000000D+00     -0.3000000D+01      0.0000000D+00
     147      0.2220400D-15     -0.3000000D+01      0.0000000D+00
     148      0.5000000D+00     -0.3000000D+01      0.0000000D+00
     149      0.1000000D+01     -0.3000000D+01      0.0000000D+00
     150      0.1500000D+01     -0.3000000D+01      0.0000000D+00
     151      0.2000000D+01     -0.3000000D+01      0.0000000D+00
     152      0.2500000D+01     -0.3000000D+01      0.0000000D+00
     153      0.3000000D+01     -0.3000000D+01      0.0000000D+00
     154      0.3500000D+01     -0.3000000D+01      0.0000000D+00
     155      0.4000000D+01     -0.3000000D+01      0.0000000D+00
     156      0.4500000D+01     -0.3000000D+01      0.0000000D+00
     157     -0.4500000D+01     -0.2500000D+01      0.0000000D+00
     158     -0.4000000D+01     -0.2500000D+01      0.0000000D+00
     159     -0.3500000D+01     -0.2500000D+01      0.0000000D+00
     160     -0.3000000D+01     -0.2500000D+01      0.0000000D+00
     161     -0.2500000D+01     -0.2500000D+01      0.0000000D+00
     162     -0.2000000D+01     -0.2500000D+01      0.0000000D+00
     163     -0.1500000D+01     -0.2500000D+01      0.0000000D+00
     164     -0.1000000D+01     -0.2500000D+01      0.0000000D+00
     165     -0.5000000D+00     -0.2500000D+01      0.0000000D+00
     166      0.4440900D-15     -0.2500000D+01      0.0000000D+00
     167      0.5000000D+00     -0.2500000D+01      0.0000000D+00
     168      0.1000000D+01     -0.2500000D+01      0.0000000D+00
     169      0.1500000D+01     -0.2500000D+01      0.0000000D+00
     170      0.2000000D+01     -0.2500000D+01      0.0000000D+00
     171      0.2500000D+01     -0.2500000D+01      0.0000000D+00
     172      0.3000000D+01     -0.2500000D+01      0.0000000D+00
     173      0.3500000D+01     -0.2500000D+01      0.0000000D+00
     174      0.4000000D+01     -0.2500000D+01      0.0000000D+00
     175      0.4500000D+01     -0.2500000D+01      0.0000000D+00
     176     -0.4500000D+01     -0.2000000D+01      0.0000000D+00
     177     -0.4000000D+01     -0.2000000D+01      0.0000000D+00
     178     -0.3500000D+01     -0.2000000D+01      0.0000000D+00
     179     -0.3000000D+01     -0.2000000D+01      0.0000000D+00
     180     -0.2500000D+01     -0.2000000D+01      0.0000000D+00
     181     -0.2000000D+01     -0.2000000D+01      0.0000000D+00
     182     -0.1500000D+01     -0.2000000D+01      0.0000000D+00
     183     -0.1000000D+01     -0.2000000D+01      0.0000000D+00
     184     -0.5000000D+00     -0.2000000D+01      0.0000000D+00
     185      0.0000000D+00     -0.2000000D+01      0.0000000D+00
     186      0.5000000D+00     -0.2000000D+01      0.0000000D+00
     187      0.1000000D+01     -0.2000000D+01      0.0000000D+00
     188      0.1500000D+01     -0.2000000D+01      0.0000000D+00
     189      0.2000000D+01     -0.2000000D+01      0.0000000D+00
     190      0.2500000D+01     -0.2000000D+01      0.0000000D+00
     191      0.3000000D+01     -0.2000000D+01      0.0000000D+00
     192      0.3500000D+01     -0.2000000D+01      0.0000000D+00
     193      0.4000000D+01     -0.2000000D+01      0.0000000D+00
     194      0.4500000D+01     -0.2000000D+01      0.0000000D+00
     195     -0.4500000D+01     -0.1500000D+01      0.0000000D+00
     196     -0.4000000D+01     -0.1500000D+01      0.0000000D+00
     197     -0.3500000D+01     -0.1500000D+01      0.0000000D+00
     198     -0.3000000D+01     -0.1500000D+01      0.0000000D+00
     199     -0.2500000D+01     -0.1500000D+01      0.0000000D+00
     200     -0.2000000D+01     -0.1500000D+01      0.0000000D+00
     201     -0.1500000D+01     -0.1500000D+01      0.0000000D+00
     202     -0.1000000D+01     -0.1500000D+01      0.0000000D+00
     203     -0.5000000D+00     -0.1500000D+01      0.0000000D+00
     204     -0.3330700D-15     -0.1500000D+01      0.0000000D+00
     205      0.5000000D+00     -0.1500000D+01      0.0000000D+00
     206      0.1000000D+01     -0.1500000D+01      0.0000000D+00
     207      0.1500000D+01     -0.1500000D+01      0.0000000D+00
     208      0.2000000D+01     -0.1500000D+01      0.0000000D+00
     209      0.2500000D+01     -0.1500000D+01      0.0000000D+00
     210      0.3000000D+01     -0.1500000D+01      0.0000000D+00
     211      0.3500000D+01     -0.1500000D+01      0.0000000D+00
     212      0.4000000D+01     -0.1500000D+01      0.0000000D+00
     213      0.4500000D+01     -0.1500000D+01      0.0000000D+00
     214     -0.4500000D+01     -0.1000000D+01      0.0000000D+00
     215     -0.4000000D+01     -0.1000000D+01      0.0000000D+00
     216     -0.3500000D+01     -0.1000000D+01      0.0000000D+00
     217     -0.3000000D+01     -0.1000000D+01      0.0000000D+00
     218     -0.2500000D+01     -0.1000000D+01      0.0000000D+00
     219     -0.2000000D+01     -0.1000000D+01      0.0000000D+00
     220     -0.1500000D+01     -0.1000000D+01      0.0000000D+00
     221     -0.1000000D+01     -0.1000000D+01      0.0000000D+00
     222     -0.5000000D+00     -0.1000000D+01      0.0000000D+00
     223     -0.1110200D-15     -0.1000000D+01      0.0000000D+00
     224      0.5000000D+00     -0.1000000D+01      0.0000000D+00
     225      0.1000000D+01     -0.1000000D+01      0.0000000D+00
     226      0.1500000D+01     -0.1000000D+01      0.0000000D+00
     227      0.2000000D+01     -0.1000000D+01      0.0000000D+00
     228      0.2500000D+01     -0.1000000D+01      0.0000000D+00
     229      0.3000000D+01     -0.1000000D+01      0.0000000D+00
     230      0.3500000D+01     -0.1000000D+01      0.0000000D+00
     231      0.4000000D+01     -0.1000000D+01      0.0000000D+00
     232      0.4500000D+01     -0.1000000D+01      0.0000000D+00
     233     -0.4500000D+01     -0.5000000D+00      0.0000000D+00
     234     -0.4000000D+01     -0.5000000D+00      0.0000000D+00
     235     -0.3500000D+01     -0.5000000D+00      0.0000000D+00
     236     -0.3000000D+01     -0.5000000D+00      0.0000000D+00
     237     -0.2500000D+01     -0.5000000D+00      0.0000000D+00
     238     -0.2000000D+01     -0.5000000D+00      0.0000000D+00
     239     -0.1500000D+01     -0.5000000D+00      0.0000000D+00
     240     -0.1000000D+01     -0.5000000D+00      0.0000000D+00
     241     -0.5000000D+00     -0.5000000D+00      0.0000000D+00
     242      0.0000000D+00     -0.5000000D+00      0.0000000D+00
     243      0.5000000D+00     -0.5000000D+00      0.0000000D+00
     244      0.1000000D+01     -0.5000000D+00      0.0000000D+00
     245      0.1500000D+01     -0.5000000D+00      0.0000000D+00
     246      0.2000000D+01     -0.5000000D+00      0.0000000D+00
     247      0.2500000D+01     -0.5000000D+00      0.0000000D+00
     248      0.3000000D+01     -0.5000000D+00      0.0000000D+00
     249      0.3500000D+01     -0.5000000D+00      0.0000000D+00
     250      0.4000000D+01     -0.5000000D+00      0.0000000D+00
     251      0.4500000D+01     -0.5000000D+00      0.0000000D+00
     252     -0.4500000D+01     -0.8743000D-15      0.0000000D+00
     253     -0.4000000D+01     -0.4440900D-15      0.0000000D+00
     254     -0.3500000D+01     -0.1276800D-14      0.0000000D+00
     255     -0.3000000D+01     -0.4440900D-15      0.0000000D+00
     256     -0.2500000D+01     -0.9992000D-15      0.0000000D+00
     257     -0.2000000D+01     -0.4440900D-15      0.0000000D+00
     258     -0.1500000D+01     -0.4440900D-15      0.0000000D+00
     259     -0.1000000D+01     -0.4440900D-15      0.0000000D+00
     260     -0.5000000D+00     -0.4440900D-15      0.0000000D+00
     261      0.0000000D+00     -0.4440900D-15      0.0000000D+00
     262      0.5000000D+00     -0.4440900D-15      0.0000000D+00
     263      0.1000000D+01     -0.4440900D-15      0.0000000D+00
     264      0.1500000D+01     -0.4440900D-15      0.0000000D+00
     265      0.2000000D+01     -0.4440900D-15      0.0000000D+00
     266      0.2500000D+01      0.6661300D-15      0.0000000D+00
     267      0.3000000D+01      0.0000000D+00      0.0000000D+00
     268      0.3500000D+01      0.4440900D-15      0.0000000D+00
     269      0.4000000D+01      0.8881800D-15      0.0000000D+00
     270      0.4500000D+01      0.8881800D-15      0.0000000D+00
     271     -0.4500000D+01      0.5000000D+00      0.0000000D+00
     272     -0.4000000D+01      0.5000000D+00      0.0000000D+00
     273     -0.3500000D+01      0.5000000D+00      0.0000000D+00
     274     -0.3000000D+01      0.5000000D+00      0.0000000D+00
     275     -0.2500000D+01      0.5000000D+00      0.0000000D+00
     276     -0.2000000D+01      0.5000000D+00      0.0000000D+00
     277     -0.1500000D+01      0.5000000D+00      0.0000000D+00
     278     -0.1000000D+01      0.5000000D+00      0.0000000D+00
     279     -0.5000000D+00      0.5000000D+00      0.0000000D+00
     280      0.0000000D+00      0.5000000D+00      0.0000000D+00
     281      0.5000000D+00      0.5000000D+00      0.0000000D+00
     282      0.1000000D+01      0.5000000D+00      0.0000000D+00
     283      0.1500000D+01      0.5000000D+00      0.0000000D+00
     284      0.2000000D+01      0.5000000D+00      0.0000000D+00
     285      0.2500000D+01      0.5000000D+00      0.0000000D+00
     286      0.3000000D+01      0.5000000D+00      0.0000000D+00
