
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (14400 ELS. CTES.)  


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= ****
  NÚMERO DE ELEMENTOS DE CONTORNO= 6400
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= ****
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
      83     -0.3900000D+02      0.4000000D+02      0.0000000D+00
      84     -0.3800000D+02      0.4000000D+02      0.0000000D+00
      85     -0.3700000D+02      0.4000000D+02      0.0000000D+00
      86     -0.3600000D+02      0.4000000D+02      0.0000000D+00
      87     -0.3500000D+02      0.4000000D+02      0.0000000D+00
      88     -0.3400000D+02      0.4000000D+02      0.0000000D+00
      89     -0.3300000D+02      0.4000000D+02      0.0000000D+00
      90     -0.3200000D+02      0.4000000D+02      0.0000000D+00
      91     -0.3100000D+02      0.4000000D+02      0.0000000D+00
      92     -0.3000000D+02      0.4000000D+02      0.0000000D+00
      93     -0.2900000D+02      0.4000000D+02      0.0000000D+00
      94     -0.2800000D+02      0.4000000D+02      0.0000000D+00
      95     -0.2700000D+02      0.4000000D+02      0.0000000D+00
      96     -0.2600000D+02      0.4000000D+02      0.0000000D+00
      97     -0.2500000D+02      0.4000000D+02      0.0000000D+00
      98     -0.2400000D+02      0.4000000D+02      0.0000000D+00
      99     -0.2300000D+02      0.4000000D+02      0.0000000D+00
     100     -0.2200000D+02      0.4000000D+02      0.0000000D+00
     101     -0.2100000D+02      0.4000000D+02      0.0000000D+00
     102     -0.2000000D+02      0.4000000D+02      0.0000000D+00
     103     -0.1900000D+02      0.4000000D+02      0.0000000D+00
     104     -0.1800000D+02      0.4000000D+02      0.0000000D+00
     105     -0.1700000D+02      0.4000000D+02      0.0000000D+00
     106     -0.1600000D+02      0.4000000D+02      0.0000000D+00
     107     -0.1500000D+02      0.4000000D+02      0.0000000D+00
     108     -0.1400000D+02      0.4000000D+02      0.0000000D+00
     109     -0.1300000D+02      0.4000000D+02      0.0000000D+00
     110     -0.1200000D+02      0.4000000D+02      0.0000000D+00
     111     -0.1100000D+02      0.4000000D+02      0.0000000D+00
     112     -0.1000000D+02      0.4000000D+02      0.0000000D+00
     113     -0.9000000D+01      0.4000000D+02      0.0000000D+00
     114     -0.8000000D+01      0.4000000D+02      0.0000000D+00
     115     -0.7000000D+01      0.4000000D+02      0.0000000D+00
     116     -0.6000000D+01      0.4000000D+02      0.0000000D+00
     117     -0.5000000D+01      0.4000000D+02      0.0000000D+00
     118     -0.4000000D+01      0.4000000D+02      0.0000000D+00
     119     -0.3000000D+01      0.4000000D+02      0.0000000D+00
     120     -0.2000000D+01      0.4000000D+02      0.0000000D+00
     121     -0.1000000D+01      0.4000000D+02      0.0000000D+00
     122      0.1421100D-13      0.4000000D+02      0.0000000D+00
     123      0.1000000D+01      0.4000000D+02      0.0000000D+00
     124      0.2000000D+01      0.4000000D+02      0.0000000D+00
     125      0.3000000D+01      0.4000000D+02      0.0000000D+00
     126      0.4000000D+01      0.4000000D+02      0.0000000D+00
     127      0.5000000D+01      0.4000000D+02      0.0000000D+00
     128      0.6000000D+01      0.4000000D+02      0.0000000D+00
     129      0.7000000D+01      0.4000000D+02      0.0000000D+00
     130      0.8000000D+01      0.4000000D+02      0.0000000D+00
     131      0.9000000D+01      0.4000000D+02      0.0000000D+00
     132      0.1000000D+02      0.4000000D+02      0.0000000D+00
     133      0.1100000D+02      0.4000000D+02      0.0000000D+00
     134      0.1200000D+02      0.4000000D+02      0.0000000D+00
     135      0.1300000D+02      0.4000000D+02      0.0000000D+00
     136      0.1400000D+02      0.4000000D+02      0.0000000D+00
     137      0.1500000D+02      0.4000000D+02      0.0000000D+00
     138      0.1600000D+02      0.4000000D+02      0.0000000D+00
     139      0.1700000D+02      0.4000000D+02      0.0000000D+00
     140      0.1800000D+02      0.4000000D+02      0.0000000D+00
     141      0.1900000D+02      0.4000000D+02      0.0000000D+00
     142      0.2000000D+02      0.4000000D+02      0.0000000D+00
     143      0.2100000D+02      0.4000000D+02      0.0000000D+00
     144      0.2200000D+02      0.4000000D+02      0.0000000D+00
     145      0.2300000D+02      0.4000000D+02      0.0000000D+00
     146      0.2400000D+02      0.4000000D+02      0.0000000D+00
     147      0.2500000D+02      0.4000000D+02      0.0000000D+00
     148      0.2600000D+02      0.4000000D+02      0.0000000D+00
     149      0.2700000D+02      0.4000000D+02      0.0000000D+00
